Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes
NGC1390;G;03:37:52.17;-19:00:30.1;Eri;1.45;0.51;21;14.63;;12.43;11.80;11.54;24.09;S0-a;;;;;;;;2MASX J03375216-1900300,ESO 548-054,ESO-LV 548-0540,MCG -03-10-017,PGC 013386;;;
NGC1391;G;03:38:52.96;-18:21:14.8;Eri;1.21;0.61;65;14.25;13.34;11.16;10.46;10.22;23.49;S0;;;;;;;;2MASX J03385297-1821146,ESO 548-059,ESO-LV 548-0590,MCG -03-10-020,PGC 013436;;;
NGC1392;G;03:37:47.01;-36:08:50.7;Eri;0.30;0.21;35;16.88;;14.78;14.26;13.78;22.78;Sc;;;;;;;;2MASX J03374699-3608507,ESO 358-040,ESO-LV 358-0400,PGC 013383;;Identification as NGC 1392 is very uncertain.;
NGC1393;G;03:38:38.58;-18:25:40.7;Eri;1.88;1.22;161;13.00;12.02;10.08;9.38;9.18;23.11;S0;;;;;;;;2MASX J03383857-1825407,ESO 548-058,ESO-LV 548-0580,MCG -03-10-019,PGC 013425;;;
NGC1394;G;03:39:06.92;-18:17:32.2;Eri;1.51;0.59;5;13.66;12.81;10.64;9.94;9.71;23.40;S0;;;;;;;;2MASX J03390692-1817319,ESO 548-060,ESO-LV 548-0600,MCG -03-10-021,PGC 013444;;;
NGC1395;G;03:38:29.75;-23:01:39.1;Eri;4.71;3.97;105;10.71;;7.83;7.16;6.89;22.83;E;;;;;;;;2MASX J03382978-2301396,ESO 482-019,ESO-LV 482-0190,MCG -04-09-039,PGC 013419;;;
NGC1396;G;03:38:06.54;-35:26:24.4;For;0.92;0.54;90;14.80;;12.74;12.25;11.71;23.34;E-S0;;;;;;;;2MASX J03380658-3526237,PGC 013398;;This is FCC 202 with a 15 arcmin error in Dec.;
NGC1397;G;03:39:47.15;-04:40:12.4;Eri;0.96;0.68;172;14.50;;11.39;10.74;10.39;23.19;S0-a;;;;;;;;2MASX J03394713-0440121,MCG -01-10-017,PGC 013485;;;
NGC1398;G;03:38:52.13;-26:20:16.2;For;6.95;4.91;100;10.37;;7.40;6.78;6.50;23.28;SBab;;;;;;;;2MASX J03385213-2620162,ESO 482-022,ESO-LV 482-0220,IRAS 03367-2629,MCG -04-09-040,PGC 013434;;;
NGC1399;G;03:38:29.03;-35:27:02.4;For;8.51;7.69;150;9.74;9.59;7.21;6.56;6.31;23.95;E;;;;;;;;2MASX J03382908-3527026,ESO 358-045,ESO-LV 358-0450,MCG -06-09-012,PGC 013418;;;
NGC1400;G;03:39:30.84;-18:41:17.1;Eri;2.81;2.52;43;12.01;10.96;8.75;8.04;7.81;23.05;E;;;;;;;;2MASX J03393085-1841172,ESO 548-062,ESO-LV 548-0620,IRAS 03372-1850,MCG -03-10-022,PGC 013470;;;
NGC1401;G;03:39:21.85;-22:43:28.9;Eri;2.45;0.90;132;13.32;;10.26;9.60;9.35;23.72;S0;;;;;;;;2MASX J03392185-2243289,ESO 482-026,ESO-LV 482-0260,MCG -04-09-042,PGC 013457;;;
NGC1402;G;03:39:30.57;-18:31:37.0;Eri;0.87;0.83;90;13.96;;11.36;10.58;10.32;22.77;S0;;;;;;;;2MASX J03393058-1831372,ESO 548-061,ESO-LV 548-0610,IRAS 03372-1841,MCG -03-10-023,PGC 013467;;;
NGC1403;G;03:39:10.84;-22:23:19.5;Eri;1.52;1.34;165;13.86;;10.77;10.10;9.82;23.30;E-S0;;;;;;;;2MASX J03391087-2223189,ESO 482-025,ESO-LV 482-0250,MCG -04-09-041,PGC 013445;;;
NGC1404;G;03:38:51.92;-35:35:39.8;For;5.01;4.38;163;10.69;10.00;7.77;7.09;6.82;23.26;E;;;;;;;;2MASX J03385191-3535398,ESO 358-046,ESO-LV 358-0460,MCG -06-09-013,PGC 013433;;;
NGC1405;G;03:40:18.93;-15:31:48.7;Eri;1.60;0.45;152;16.00;;12.12;11.52;11.22;24.70;S0;;;;;;;;2MASX J03401891-1531487,MCG -03-10-028,PGC 013512;;;
NGC1406;G;03:39:23.30;-31:19:17.1;For;4.50;0.90;17;12.42;;9.66;8.92;8.61;23.20;SBbc;;;;;;;;2MASX J03392331-3119170,ESO 418-015,ESO-LV 418-0150,IRAS 03373-3129,MCG -05-09-020,PGC 013458,UGCA 083;;;
NGC1407;G;03:40:11.86;-18:34:48.4;Eri;5.73;5.27;60;10.64;9.67;7.64;6.99;6.70;23.36;E;;;;;;;;2MASX J03401190-1834493,ESO 548-067,ESO-LV 548-0670,MCG -03-10-030,PGC 013505;;;
NGC1408;**;03:39:17.28;-35:30:03.0;For;;;;;;;;;;;;;;;;;;;;Identification as NGC 1408 is very uncertain.;
NGC1409;G;03:41:10.43;-01:18:09.2;Eri;0.82;0.64;130;14.70;;10.79;9.93;9.64;23.19;S0;;;;;;;;2MASX J03411054-0118101,MCG +00-10-011,PGC 013553,UGC 02821 NED01;;;
NGC1410;G;03:41:10.75;-01:17:55.6;Eri;1.17;0.62;99;16.06;15.22;;;;24.28;E;;;;;;;;MCG +00-10-012,PGC 013556,UGC 02821 NED02;;;
NGC1411;G;03:38:44.87;-44:06:02.2;Hor;2.45;1.76;12;12.06;;9.02;8.35;8.15;22.86;E-S0;;;;;;1943;;2MASX J03384485-4406022,ESO 249-011,ESO-LV 249-0110,MCG -07-08-004,PGC 013429;;This is most likely NGC 1411 with 9 minute RA error in IC position.;
NGC1412;G;03:40:29.37;-26:51:44.1;For;1.06;0.45;133;13.54;13.13;10.50;9.85;9.63;22.57;S0;;;;;;1981;;2MASX J03402936-2651441,ESO 482-029,ESO-LV 482-0290,MCG -05-09-021,PGC 013520,TYC 6450-335-1;;NGC 1412 is IC 1981 with a 40 arcmin error in Dec.;
NGC1413;G;03:40:11.55;-15:36:38.8;Eri;0.90;0.77;52;14.95;;11.62;10.86;10.59;23.89;E;;;;;;;;2MASX J03401157-1536380,PGC 013504;;;
NGC1414;G;03:40:57.04;-21:42:47.3;Eri;1.71;0.36;170;14.65;;12.87;12.38;11.99;23.43;SBbc;;;;;;;;ESO 548-071,ESO-LV 548-0710,MCG -04-09-045,PGC 013543;;;
NGC1415;G;03:40:56.86;-22:33:52.1;Eri;3.74;1.51;141;12.47;;9.29;8.58;8.29;23.94;S0-a;;;;;;1983;;2MASX J03405685-2233520,ESO 482-033,ESO-LV 482-0330,IRAS 03387-2243,MCG -04-09-047,PGC 013544;;;
NGC1416;G;03:41:02.89;-22:43:08.8;Eri;1.50;1.01;172;13.95;;11.45;10.79;10.54;23.89;E;;;;;;;;2MASX J03410288-2243090,ESO 482-034,ESO-LV 482-0340,MCG -04-09-048,PGC 013548;;;
NGC1417;G;03:41:57.42;-04:42:17.5;Eri;2.52;1.35;2;12.90;;10.07;9.36;9.14;23.10;SABb;;;;;;;;2MASX J03415742-0442174,IRAS 03394-0451,MCG -01-10-021,PGC 013584;;;
NGC1418;G;03:42:16.16;-04:43:50.7;Eri;1.14;0.65;7;14.50;;11.60;10.85;10.58;23.05;SBb;;;;;;;;2MASX J03421615-0443505,MCG -01-10-022,PGC 013606;;;
NGC1419;G;03:40:42.11;-37:30:39.0;Eri;1.48;1.32;45;13.56;;10.73;10.08;9.89;23.21;E;;;;;;;;2MASX J03404211-3730390,ESO 301-023,ESO-LV 301-0230,MCG -06-09-017,PGC 013534;;;
NGC1420;Other;03:42:39.84;-05:51:09.2;Eri;;;;;;;;;;;;;;;;;;;;Galactic triple star.;
NGC1421;G;03:42:29.28;-13:29:16.9;Eri;3.55;0.75;180;12.38;;9.37;8.72;8.40;22.32;Sbc;;;;;;;;2MASX J03422928-1329168,IRAS 03401-1338,MCG -02-10-008,PGC 013620;;;
NGC1422;G;03:41:31.07;-21:40:53.5;Eri;2.51;0.61;63;13.99;;11.70;10.99;10.73;23.92;SBab;;;;;;;;2MASX J03413106-2140533,ESO 548-077,ESO-LV 548-0770,IRAS 03393-2150,MCG -04-09-051,PGC 013569;;;
NGC1423;G;03:42:40.10;-06:22:54.6;Eri;1.00;0.66;16;15.00;;11.71;10.96;10.55;23.26;SABa;;;;;;;;2MASX J03424012-0622548,MCG -01-10-025,PGC 013628,SDSS J034240.10-062254.5,SDSS J034240.10-062254.6;;MCG RA is +0.6 minutes in error.;
NGC1424;G;03:43:14.04;-04:43:48.3;Eri;1.39;0.49;7;14.50;;11.91;11.15;10.95;23.04;SABb;;;;;;;;2MASX J03431405-0443481,IRAS 03407-0453,MCG -01-10-026,PGC 013664;;;
NGC1425;G;03:42:11.47;-29:53:36.0;For;4.91;2.15;130;11.61;;9.13;8.55;8.31;22.92;Sb;;;;;;;;2MASX J03421146-2953359,2MASX J03421153-2953366,ESO 419-004,ESO-LV 419-0040,IRAS 03401-3002,MCG -05-09-023,PGC 013602,UGCA 084;;This may also be IC 1988.;
NGC1426;G;03:42:49.11;-22:06:30.1;Eri;2.86;1.92;112;12.21;11.44;9.57;8.90;8.67;23.40;E;;;;;;;;2MASX J03424911-2206301,ESO 549-001,ESO-LV 549-0010,MCG -04-09-054,PGC 013638;;;
NGC1427;G;03:42:19.42;-35:23:33.2;For;4.33;2.87;78;11.89;;9.03;8.32;8.14;23.80;E;;;;;;;;ESO 358-052,ESO-LV 358-0520,MCG -06-09-021,PGC 013609;;;
NGC1427A;G;03:40:09.3;-35:37:28;For;2.26;1.42;84;13.44;;;;;23.50;IB;;;;;;;;ESO 358-049,ESO-LV 358-0490,MCG -06-09-016,PGC 013500;;;
NGC1428;G;03:42:22.73;-35:09:14.4;For;1.48;0.73;123;13.77;;11.00;10.30;10.20;23.39;E-S0;;;;;;;;ESO 358-053,ESO-LV 358-0530,MCG -06-09-022,PGC 013611;;;
NGC1429;Other;03:44:04.12;-04:43:05.2;Eri;;;;;;;;;;;;;;;;;;;;Nothing at this position.;
NGC1430;*;03:43:25.22;-18:13:30.3;Eri;;;;;;;;;;;;;;;;;;;;;
NGC1431;G;03:44:40.80;+02:50:05.8;Tau;0.91;0.67;160;15.50;;12.04;11.17;11.01;24.10;S0-a;;;;;;;;2MASX J03444080+0250058,MCG +00-10-017,PGC 013732,UGC 02845;;;
NGC1432;HII;03:45:49.59;+24:22:04.3;Tau;60.00;40.00;;;;;;;;;;;;;;;;BD +23 0516,HD 023408,HIP 017573,LBN 771;Maia Nebula;;
NGC1433;G;03:42:01.55;-47:13:19.5;Hor;6.19;2.96;95;10.84;9.99;7.93;7.28;7.06;23.12;SBa;;;;;;;;2MASX J03420155-4713194,ESO 249-014,ESO-LV 249-0140,IRAS 03404-4722,PGC 013586;;;
NGC1434;G;03:46:12.87;-09:40:57.4;Eri;0.79;0.48;163;15.53;;12.00;11.34;10.93;23.53;S0-a;;;;;;;;2MASX J03461286-0940572,PGC 013804;;Identification as NGC 1434 is very uncertain.;
NGC1435;Neb;03:46:10.09;+23:45:53.9;Tau;30.00;30.00;;;;;;;;;;;;;;;;;Merope Nebula;;Dimensions taken from LEDA
NGC1436;G;03:43:37.08;-35:51:10.9;Eri;2.97;2.08;152;12.49;;9.89;9.22;9.03;23.33;Sab;;;;;1437;;;2MASX J03433708-3551107,ESO 358-058,ESO-LV 358-0580,IRAS 03417-3600,MCG -06-09-025,PGC 013687;;;
NGC1437;Dup;03:43:37.08;-35:51:10.9;Eri;;;;;;;;;;;;;;;1436;;;;;;
NGC1437B;G;03:45:54.8;-36:21:25;Eri;2.87;0.86;2;13.98;;11.55;10.77;10.78;23.80;Sd;;;;;;;;2MASX J03455486-3621249,ESO 358-061,ESO-LV 358-0610,IRAS 03440-3630,MCG -06-09-029,PGC 013794;;Position in 1997AJ....113...22G is incorrect.;
NGC1438;G;03:45:17.23;-23:00:08.9;Eri;2.04;0.93;67;13.28;;10.47;9.82;9.62;23.17;Sa;;;;;;;;2MASX J03451721-2300090,ESO 482-041,ESO-LV 482-0410,MCG -04-09-058,PGC 013760;;;
NGC1439;G;03:44:49.95;-21:55:14.0;Eri;2.96;2.83;10;12.23;;9.44;8.81;8.57;23.52;E;;;;;;;;2MASX J03444995-2155137,ESO 549-009,ESO-LV 549-0090,MCG -04-09-056,PGC 013738;;;
NGC1440;G;03:45:02.91;-18:15:57.7;Eri;2.62;1.99;23;12.48;;9.16;8.47;8.20;23.48;S0;;;;;1442;;;2MASX J03450290-1815577,ESO 549-010,ESO-LV 549-0100,MCG -03-10-043,PGC 013752;;;
NGC1441;G;03:45:43.12;-04:05:29.7;Eri;1.85;0.65;89;14.00;;10.24;9.52;9.21;23.26;SBb;;;;;;;;2MASX J03454312-0405295,MCG -01-10-029,PGC 013782;;;
NGC1442;Dup;03:45:02.91;-18:15:57.7;Eri;;;;;;;;;;;;;;;1440;;;;;;
NGC1443;*;03:45:53.04;-04:03:09.8;Eri;;;;;;;;;;;;;;;;;;;;;
NGC1444;OCl;03:49:28.88;+52:39:19.2;Per;3.60;;;7.04;6.60;;;;;;;;;;;;;MWSC 0308;;;
NGC1445;G;03:44:56.22;-09:51:21.1;Eri;0.77;0.62;106;14.82;;12.23;11.67;11.31;23.19;S0;;;;;;;;2MASX J03445621-0951209,IRAS 03425-1000,PGC 013742;;;
NGC1446;*;03:45:57.46;-04:06:43.8;Eri;;;;13.80;13.50;11.56;11.05;10.93;;;;;;;;;;2MASS J03455749-0406439;;Identification as NGC 1446 is very uncertain.;
NGC1447;G;03:45:47.15;-09:01:07.3;Eri;0.86;0.58;115;15.24;;11.74;11.07;10.68;24.23;S0;;;;;;;;2MASX J03454716-0901076,PGC 013786;;;
NGC1448;G;03:44:31.92;-44:38:41.4;Hor;8.02;1.53;41;11.46;;8.68;7.94;7.66;23.27;Sc;;;;;1457;;;2MASX J03443191-4438413,ESO 249-016,ESO-LV 249-0160,IRAS 03428-4448,MCG -07-08-005,PGC 013727;;;
NGC1449;G;03:46:03.07;-04:08:17.2;Eri;0.90;0.52;5;14.60;;11.05;10.33;10.05;23.00;S0;;;;;;;;2MASX J03460309-0408173,MCG -01-10-032,PGC 013798;;;
NGC1450;G;03:45:36.64;-09:14:05.5;Eri;0.91;0.73;28;14.56;;11.31;10.64;10.30;23.65;E-S0;;;;;;;;2MASX J03453663-0914056,PGC 013775;;;
NGC1451;G;03:46:07.16;-04:04:09.1;Eri;0.81;0.65;45;14.50;;10.94;10.25;9.93;22.66;E-S0;;;;;;;;2MASX J03460717-0404093,MCG -01-10-033,PGC 013801;;;
NGC1452;G;03:45:22.31;-18:38:01.1;Eri;2.39;1.76;30;12.98;;9.66;8.97;8.67;23.35;S0-a;;;;;1455;;;2MASX J03452230-1838010,ESO 549-012,ESO-LV 549-0120,MCG -03-10-044,PGC 013765;;;
NGC1453;G;03:46:27.25;-03:58:07.6;Eri;2.46;1.87;19;13.00;;9.13;8.43;8.12;23.39;E;;;;;;;;2MASX J03462726-0358075,MCG -01-10-034,PGC 013814;;;
NGC1454;*;03:45:59.34;-20:39:08.3;Eri;;;;;;;;;;;;;;;;;;;;;
NGC1455;Dup;03:45:22.31;-18:38:01.1;Eri;;;;;;;;;;;;;;;1452;;;;;;
NGC1456;**;03:48:08.25;+22:33:31.0;Tau;;;;11.72;10.96;9.97;9.71;9.63;;;;;;;;;;;;;Main component is TYC 1800-2103-1.
NGC1457;Dup;03:44:31.92;-44:38:41.4;Hor;;;;;;;;;;;;;;;1448;;;;;;
NGC1458;Other;03:46:58.31;-18:14:28.1;Eri;;;;;;;;;;;;;;;;;;;;Nothing at this position.;
NGC1459;G;03:46:57.94;-25:31:18.3;For;1.82;1.19;161;13.62;;11.07;10.49;10.10;23.31;SBbc;;;;;;;;2MASX J03465794-2531182,ESO 482-043,ESO-LV 482-0430,IRAS 03448-2540,MCG -04-10-001,PGC 013832;;;
NGC1460;G;03:46:13.74;-36:41:46.8;Eri;1.92;1.62;85;13.52;;10.77;10.05;9.96;23.64;S0;;;;;;;;2MASX J03461375-3641467,ESO 358-062,ESO-LV 358-0620,MCG -06-09-031,PGC 013805;;;
NGC1461;G;03:48:27.14;-16:23:34.4;Eri;2.90;0.85;157;12.85;;9.30;8.60;8.34;23.80;S0;;;;;;;;2MASX J03482713-1623345,MCG -03-10-047,PGC 013881;;;
NGC1462;G;03:50:23.43;+06:58:23.0;Tau;0.86;0.49;40;15.30;;11.66;10.89;10.63;23.19;Sc;;;;;;;;2MASX J03502341+0658231,IRAS 03477+0649,MCG +01-10-010,PGC 013945;;;
NGC1463;G;03:46:15.42;-59:48:36.5;Ret;1.26;1.09;25;14.15;;11.31;10.56;10.30;23.41;Sa;;;;;;;;2MASX J03461541-5948366,ESO 117-009,ESO-LV 117-0090,IRAS 03453-5957,PGC 013807;;;
NGC1464;G;03:51:24.52;-15:24:08.1;Eri;0.81;0.59;44;14.71;;11.86;11.16;10.80;22.74;Scd;;;;;1471;;;2MASX J03512450-1524081,IRAS 03491-1533,PGC 013976;;;
NGC1465;G;03:53:31.91;+32:29:34.1;Per;2.01;0.44;165;14.90;;10.26;9.50;9.17;24.73;S0-a;;;;;;;;2MASX J03533191+3229343,MCG +05-10-003,PGC 014039,UGC 02891;;;
NGC1466;GCl;03:44:33.35;-71:40:17.7;Hyi;3.50;3.50;;11.60;11.59;;;;;;;;;;;;;2MASX J03443186-7140160,ESO 054-016;;The 2MASS position is 7 arcsec east of the core.;
NGC1467;G;03:51:52.80;-08:50:17.5;Eri;1.23;0.67;63;15.00;;11.54;10.85;10.60;24.23;S0-a;;;;;;;;2MASX J03515275-0850176,MCG -02-10-015,PGC 013991;;;
NGC1468;G;03:52:12.58;-06:20:56.2;Eri;1.22;0.85;140;15.00;;11.08;10.40;10.08;23.99;E-S0;;;;;;;;2MASX J03521258-0620566,MCG -01-10-045,PGC 014004,SDSS J035212.58-062056.2;;;
NGC1469;G;04:00:27.77;+68:34:39.8;Cam;2.17;1.22;150;14.50;;8.89;8.07;7.75;24.72;E-S0;;;;;;;;2MASX J04002774+6834398,MCG +11-05-004,PGC 014261,UGC 02909;;;
NGC1470;G;03:52:09.84;-08:59:57.7;Eri;1.61;0.39;166;15.00;;11.31;10.57;10.22;23.53;Sab;;;;;;;;2MASX J03520982-0859576,IRAS 03497-0908,MCG -02-10-016,PGC 014002;;;
NGC1471;Dup;03:51:24.52;-15:24:08.1;Eri;;;;;;;;;;;;;;;1464;;;;;;
NGC1472;G;03:53:47.35;-08:34:06.5;Eri;0.68;0.62;110;;;11.76;11.14;10.68;23.61;S0;;;;;;;;2MASX J03534734-0834060,PGC 014050;;;
NGC1473;G;03:47:26.30;-68:13:14.1;Hyi;1.53;0.82;45;13.76;;12.01;11.87;11.41;22.54;IB;;;;;;;;2MASX J03472514-6813135,ESO 054-019,ESO-LV 54-0190,IRAS 03472-6822,PGC 013853;;;
NGC1474;G;03:54:30.35;+10:42:25.2;Tau;1.04;0.70;5;14.66;13.76;11.51;10.76;10.50;23.63;Sa;;;;;;2002;;2MASX J03543035+1042255,MCG +02-10-003,PGC 014080,UGC 02898;;;
NGC1475;G;03:53:49.83;-08:08:15.0;Eri;0.65;0.59;105;15.70;;12.20;11.39;11.32;23.83;;;;;;;;;2MASX J03534978-0808151,PGC 1007783;;;
NGC1476;G;03:52:08.79;-44:31:56.9;Hor;1.50;0.54;85;13.98;13.82;12.59;11.97;11.76;23.12;Sa;;;;;;;;2MASX J03520773-4431585,ESO 249-024,ESO-LV 249-0240,IRAS 03504-4440,MCG -07-09-001,PGC 014001;;;
NGC1477;G;03:54:02.88;-08:34:29.9;Eri;0.77;0.68;52;;;11.82;11.02;10.84;24.00;E;;;;;;;;2MASX J03540284-0834301,PGC 014060;;;
NGC1478;G;03:54:07.34;-08:33:19.5;Eri;0.64;0.44;43;15.88;;12.23;11.45;11.23;23.82;S0;;;;;;;;2MASX J03540729-0833191,PGC 014062;;;
NGC1479;Other;03:54:20.44;-10:12:31.0;Eri;;;;;;;;;;;;;;;;;;;;Nothing at this position.;
NGC1480;Other;03:54:32.38;-10:15:31.8;Eri;;;;;;;;;;;;;;;;;;;;Nothing at this position.;
NGC1481;G;03:54:28.96;-20:25:37.8;Eri;1.04;0.78;132;14.44;;12.17;11.41;11.18;23.37;E-S0;;;;;;;;2MASX J03542901-2025380,ESO 549-032,ESO-LV 549-0320,MCG -03-10-053,PGC 014079;;;
NGC1482;G;03:54:38.96;-20:30:09.6;Eri;2.46;1.43;107;13.14;12.15;9.72;8.91;8.48;23.73;S0-a;;;;;;;;2MASX J03543892-2030088,ESO 549-033,ESO-LV 549-0330,IRAS 03524-2038,MCG -03-10-054,PGC 014084;;;
NGC1483;G;03:52:47.64;-47:28:39.1;Hor;1.87;1.51;153;13.23;;11.26;10.60;10.59;23.12;SBbc;;;;;;;;2MASX J03524760-4728390,ESO 201-007,ESO-LV 201-0070,IRAS 03512-4737,PGC 014022;;;
NGC1484;G;03:54:20.13;-36:58:08.0;Eri;2.73;0.68;79;13.67;;;;;23.66;SBb;;;;;;;;2MASX J03542014-3658077,ESO 359-006,ESO-LV 359-0060,IRAS 03524-3706,MCG -06-09-036,PGC 014071;;;
NGC1485;G;04:05:03.94;+70:59:47.5;Cam;2.23;0.69;21;13.60;;9.67;8.92;8.62;23.11;Sb;;;;;;;;2MASX J04050398+7059476,MCG +12-04-010,PGC 014432,UGC 02933;;;
NGC1486;G;03:56:18.70;-21:49:16.1;Eri;0.91;0.62;6;15.21;;12.70;12.03;11.66;23.34;SABb;;;;;;;;2MASX J03561872-2149158,ESO 549-037,ESO-LV 549-0370,MCG -04-10-008,PGC 014132;;;
NGC1487;GPair;03:55:46.10;-42:22:05.0;Hor;4.40;;;;;;;;;;;;;;;;;ESO 249-031,MCG -07-09-002;;Position in 1997AJ....113.1548C is incorrect.;Diameter of the group inferred by the author.
NGC1487 NED01;G;03:55:45.37;-42:22:03.7;Hor;2.34;2.04;96;11.89;;10.69;10.17;9.91;22.34;I;;;;;1487NW;;;2MASX J03554474-4222024,ESO-LV 249-0310,MCG -07-09-002 NED01,PGC 014117;;;
NGC1487 NED02;G;03:55:47.17;-42:22:06.9;Hor;3.72;1.70;91;12.28;11.68;;9.71;9.56;23.22;S?;;;;;;;;IRAS 03540-4230,MCG -07-09-002 NED02,PGC 014121;;;
NGC1488;**;04:00:04.33;+18:34:02.3;Tau;;;;;;;;;;;;;;;;;;;;;
NGC1489;G;03:57:38.10;-19:12:59.9;Eri;1.69;0.60;19;14.65;;11.69;10.97;10.75;23.75;SBb;;;;;;;;2MASX J03573808-1912597,ESO 549-042,ESO-LV 549-0420,MCG -03-11-003,PGC 014165;;;
NGC1490;G;03:53:34.22;-66:01:05.0;Ret;1.39;1.19;131;13.42;;10.06;9.37;9.09;23.22;E;;;;;;;;2MASX J03533420-6601052,ESO 083-011,ESO-LV 83-0110,PGC 014040;;;
NGC1491;HII;04:03:13.56;+51:18:57.9;Per;9.00;6.00;;;;;;;;;;;;;;;;LBN 704;;Within 10 degrees of the galactic plane.;
NGC1492;G;03:58:13.13;-35:26:46.9;Eri;0.77;0.61;14;14.29;;11.75;11.07;10.75;22.34;Sa;;;;;;;;2MASX J03581314-3526469,ESO 359-012,ESO-LV 359-0120,IRAS 03563-3535,PGC 014186;;;
NGC1493;G;03:57:27.43;-46:12:38.5;Hor;3.44;3.18;80;11.88;;10.36;9.01;8.81;23.19;SBc;;;;;;;;2MASX J03572738-4612386,ESO 249-033,ESO-LV 249-0330,IRAS 03558-4621,PGC 014163;;;
NGC1494;G;03:57:42.90;-48:54:29.1;Hor;3.51;1.86;180;12.34;;;;;23.17;Scd;;;;;;;;2MASX J03574256-4854409,ESO 201-012,ESO-LV 201-0120,IRAS 03562-4902,PGC 014169;;;
NGC1495;G;03:58:21.82;-44:27:58.5;Hor;2.22;0.48;104;13.28;;11.15;10.52;10.09;22.58;Sc;;;;;;;;2MASX J03582180-4427585,2MASX J03582336-4428024,ESO 249-034,ESO-LV 249-0340,IRAS 03567-4436,MCG -07-09-004,PGC 014190;;;
NGC1496;OCl;04:04:31.89;+52:39:41.0;Per;2.10;;;;9.60;;;;;;;;;;;;;MWSC 0333;;;
NGC1497;G;04:02:06.82;+23:07:58.5;Tau;1.23;0.65;63;14.50;;10.47;9.82;9.48;23.69;S0;;;;;;;;2MASX J04020678+2307585,MCG +04-10-008,PGC 014331,UGC 02929;;;
NGC1498;OCl;04:00:19.30;-12:01:11.0;Eri;;;;;;;;;;;;;;;;;;;;;
NGC1499;Neb;04:03:14.42;+36:22:02.9;Per;160.00;40.00;;5.00;;;;;;;;;;;;;;LBN 756;California Nebula;;B-Mag taken from LEDA
NGC1500;G;03:58:13.97;-52:19:41.4;Dor;1.49;1.13;88;14.44;;11.13;10.42;10.07;24.52;E;;;;;;;;2MASX J03581395-5219412,ESO 201-013,ESO-LV 201-0130,PGC 014187;;;
NGC1501;PN;04:06:59.37;+60:55:14.5;Cam;0.87;;;13.30;11.50;13.20;12.92;12.79;;;14.34;15.17;14.39;;;;;IRAS 04026+6047,PN G144.5+06.5;;;
NGC1502;OCl;04:07:49.30;+62:19:53.5;Cam;10.20;;;7.47;6.90;;;;;;;;;;;;;MWSC 0343;;;
NGC1503;G;03:56:33.24;-66:02:26.4;Ret;0.96;0.74;141;14.40;;11.60;10.80;10.52;23.05;S0-a;;;;;;;;2MASX J03563321-6602263,ESO 083-013,ESO-LV 83-0130,IRAS 03561-6611,PGC 014137;;;
NGC1504;G;04:02:29.70;-09:20:07.4;Eri;0.79;0.70;40;15.00;;11.83;11.07;10.86;23.64;E-S0;;;;;;;;2MASX J04022966-0920078,MCG -02-11-008,PGC 014336;;;
NGC1505;G;04:02:36.40;-09:19:20.7;Eri;1.20;0.86;69;15.00;;11.07;10.34;10.00;23.75;S0;;;;;;;;2MASX J04023642-0919208,MCG -02-11-009,PGC 014339;;;
NGC1506;G;04:00:21.57;-52:34:25.4;Dor;1.59;0.98;82;14.55;;11.38;10.70;10.40;23.92;E-S0;;;;;;;;2MASX J04002159-5234254,ESO 156-027,ESO-LV 156-0270,PGC 014256;;;
NGC1507;G;04:04:27.21;-02:11:18.9;Eri;3.78;0.79;12;12.80;;;;;23.08;SBd;;;;;;;;IRAS 04019-0219,MCG +00-11-009,PGC 014409,UGC 02947;;Confused HIPASS source;
NGC1508;G;04:05:47.64;+25:24:30.5;Tau;0.60;0.44;25;15.20;;10.82;10.07;9.80;22.83;E?;;;;;;;;2MASX J04054765+2524302,MCG +04-10-021,PGC 014454;;;
NGC1509;G;04:03:55.20;-11:10:44.5;Eri;0.79;0.63;55;14.50;;11.40;10.62;10.31;22.73;Sa;;;;;;2026;;2MASX J04035523-1110446,IRAS 04015-1118,MCG -02-11-013,PGC 014393;;;
NGC1510;G;04:03:32.64;-43:24:00.4;Hor;1.32;1.13;103;13.63;13.24;11.28;10.17;10.36;22.82;S0;;;;;;;;2MASX J04033264-4324005,ESO 250-003,ESO-LV 250-0030,IRAS 04019-4332,MCG -07-09-006,PGC 014375;;;
NGC1511;G;03:59:36.98;-67:38:03.3;Hyi;3.66;1.47;123;11.97;;9.60;8.94;8.63;22.91;Sab;;;;;;;;2MASX J03593698-6738033,2MASX J03593974-6738201,ESO 055-004,ESO-LV 55-0040,IRAS 03594-6746,PGC 014236;;;
NGC1511A;G;04:00:18.6;-67:48:25;Hyi;1.85;0.41;108;14.27;;11.66;11.05;10.80;23.61;SBab;;;;;;;;2MASX J04001850-6748243,ESO 055-005,ESO-LV 55-0050,IRAS 04001-6756,PGC 014255;;;
NGC1511B;G;04:00:54.7;-67:36:43;Hyi;1.39;0.25;97;15.17;;;;;23.25;SBcd;;;;;;;;ESO 055-006,ESO-LV 55-0060,PGC 014279;;;
